GateV Before AlOx,DrainI Before AlOx,GateV After AlOx,DrainI After AlOx,GateV after 21 months,DrainI after 21 months,GateV after 21mo + N2 anneal,DrainI after 21mo + N2 anneal
,,,,35,1.72122536637091E-05,35,5.67270035389811E-05
,,,,34,1.53578493273412E-05,34,5.41779318945887E-05
,,,,33,1.35398453415331E-05,33,5.1552472185627E-05
,,,,32,1.23597743842528E-05,32,4.90055896554385E-05
,,,,31,1.08130513146297E-05,31,4.6600695856361E-05
,,,,30,9.5132623834576E-06,30,4.40354114803283E-05
,,,,29,8.56974704378366E-06,29,4.14976523682961E-05
,,,,28,7.64329540644489E-06,28,3.91779062540635E-05
,,,,27,6.76470296204333E-06,27,3.68424345810047E-05
,,,,26,6.02270357257626E-06,26,3.44971530190062E-05
,,,,25,5.19397832724043E-06,25,3.21521118799548E-05
,,,,24,4.53004798581115E-06,24,3.01651649035351E-05
,,,,23,3.95936774072217E-06,23,2.80820835462731E-05
,,,,22,3.47761788757255E-06,22,2.60024234708196E-05
,,,,21,2.96766262655855E-06,21,2.39787597978569E-05
,,,,20,2.62337933868959E-06,20,2.19756412147747E-05
,,,,19,2.24366925502419E-06,19,2.03796678207531E-05
,,,,18,1.91873882811152E-06,18,1.87067843912898E-05
,,,,17,1.73993731036519E-06,17,1.70095897730156E-05
,,,,16,1.42151955752406E-06,16,1.54263904297967E-05
,,,,15,1.19421557705525E-06,15,1.38902317342834E-05
,,,,14,1.03098362002208E-06,14,1.23793822991581E-05
,,,,13,8.8574255562929E-07,13,1.10043109326279E-05
,,,,12,7.4920822241794E-07,12,9.8168667413436E-06
,,,,11,5.93871124257693E-07,11,8.64074852712372E-06
,,,,10,4.74899034879459E-07,10,7.54339967186198E-06
,,,,9,3.72636562765958E-07,9,6.5835743241579E-06
,,,,8,2.98726624113561E-07,8,5.68637559532046E-06
,,,,7,2.60010991674473E-07,7,4.95318881408109E-06
,,,,6,2.10466786800522E-07,6,4.23025480615805E-06
,,,,5,1.91175044876771E-07,5,3.56291346416464E-06
,,,,4,1.54093277654718E-07,4,2.96318791262583E-06
,,,,3,1.12122791051661E-07,3,2.43537294369636E-06
,,,,2,8.8887079725638E-08,2,1.99575918921492E-06
,,,,1,6.82425571124876E-08,1,1.61636090405923E-06
,,,,0,5.27843477139749E-08,0,1.28834926726995E-06
,,,,-1,4.3781459230954E-08,-1,1.02076060299979E-06
,,,,-2,3.36970505605163E-08,-2,7.81815831784195E-07
,,,,-3,2.76815555984602E-08,-3,5.85546726854417E-07
,,,,-4,2.22046829232726E-08,-4,4.29638426478208E-07
,,,,-5,1.95829686766086E-08,-5,3.05751309101849E-07
,,,,-6,1.45325668407405E-08,-6,2.10386588150868E-07
,,,,-7,1.12502239408454E-08,-7,1.45442883244275E-07
,,,,-8,8.49091077641432E-09,-8,9.50399164198841E-08
,,,,-9,6.83067670059284E-09,-9,5.94544718771194E-08
,,,,-10,5.13326386228725E-09,-10,3.62378741506884E-08
,,,,-11,3.76219789621285E-09,-11,2.14329779045448E-08
,,,,-12,3.38998394573023E-09,-12,1.21187913810386E-08
,,,,-13,3.04430278087802E-09,-13,6.37100227646423E-09
,,,,-14,2.3512372725127E-09,-14,3.16015580853238E-09
,,,,-15,1.89734025592197E-09,-15,1.44357250790775E-09
,,,,-16,1.51022933289492E-09,-16,6.22474149520011E-10
,,,,-17,1.18257761071583E-09,-17,1.97749425530177E-10
,,,,-18,9.39811899800331E-10,-18,4.50561206701549E-11
,,,,-19,7.38958459640285E-10,-19,1.54306458914803E-11
,,,,-20,5.94759121180064E-10,-20,1.24973039163633E-11
,,,,-21,5.00918099270418E-10,-21,1.21875999630592E-11
,,,,-22,4.37530012220577E-10,-22,1.20371707770432E-11
,,,,-23,3.58554828340096E-10,-23,1.2068136345317E-11
,,,,-24,2.78402808053512E-10,-24,1.19707987483972E-11
,,,,-25,2.29867381168239E-10,-25,1.23336003246182E-11
,,,,-26,1.8770306565091E-10,-26,1.22805087355221E-11
,,,,-27,1.41251527382859E-10,-27,1.22495371334275E-11
,,,,-28,1.23027518124676E-10,-28,1.2284937559979E-11
,,,,-29,1.07520055660769E-10,-29,1.21035367718685E-11
,,,,-30,8.57211523985768E-11,-30,1.24840295106341E-11
,,,,-31,7.1116277118407E-11,-31,1.24973039163633E-11
,,,,-32,6.14003534006651E-11,-32,1.25857898981901E-11
,,,,-33,5.34364581569143E-11,-33,1.24043891100796E-11
,,,,-34,4.60521717378672E-11,-34,1.21610511516007E-11
,,,,-35,4.11765187164517E-11,-35,1.23203259188889E-11
,,,,-36,3.68494727485414E-11,-36,1.25061494976356E-11
,,,,-37,3.42435077878108E-11,-37,1.26388814872861E-11
,,,,-38,3.23543064320707E-11,-38,1.23689886835281E-11
,,,,-39,3.0916374532916E-11,-39,1.25548182960955E-11
,,,,-40,2.91289335647318E-11,-40,1.25592410867317E-11
